Model of Car,Price,Feature,Color,URL
"Tata, Nexon 1.2 XE",₹9.24 Lacs,PetrolManual,Color: Foliage Green,https://ackodrive.com//cars/tata-nexon/
"Maruti Suzuki, Baleno 1.2 Sigma",₹7.87 Lacs,PetrolManual,Color: Nexa Blue,https://ackodrive.com//cars/maruti-suzuki-baleno/
"Tata, Punch Pure",₹7.37 Lacs,PetrolManual,Color: Orcus White,https://ackodrive.com//cars/tata-punch/
"Hyundai, Grand i10 Nios 1.2 Era",₹6.68 Lacs,PetrolManual,Color: Polar White,https://ackodrive.com//cars/hyundai-grand-i10-nios/
"Hyundai, Aura 1.2 E",₹7.44 Lacs,PetrolManual,Color: Polar White,https://ackodrive.com//cars/hyundai-aura/
"Maruti Suzuki, Wagon R 1.0 LXi",₹6.47 Lacs,PetrolManual,Color: Solid White,https://ackodrive.com//cars/maruti-suzuki-wagon-r/
"Hyundai, New i20 1.2 Magna Kappa",₹8.42 Lacs,PetrolManual,Color: Fiery Red,https://ackodrive.com//cars/hyundai-new-i20/
"Maruti Suzuki, Swift LXi",₹7.20 Lacs,PetrolManual,Color: Solid Fire Red,https://ackodrive.com//cars/maruti-suzuki-swift/
"Tata, Tigor XE",₹7.18 Lacs,PetrolManual,Color: Deep Red,https://ackodrive.com//cars/tata-tigor/
"Tata, Altroz 1.2 XE",₹7.81 Lacs,PetrolManual,Color: HighStreet Gold,https://ackodrive.com//cars/tata-altroz/
"Hyundai, Venue 1.2 E",₹9.43 Lacs,PetrolManual,Color: Fiery Red,https://ackodrive.com//cars/hyundai-venue/
"Toyota, Glanza E",₹8.07 Lacs,PetrolManual,Color: Insta Blue,https://ackodrive.com//cars/toyota-glanza/
"Tata, Tiago XE",₹6.67 Lacs,PetrolManual,Color: Flame Red,https://ackodrive.com//cars/tata-tiago/
"Hyundai, Creta 1.5 E Petrol",₹13.28 Lacs,PetrolManual,Color: PolarWhite,https://ackodrive.com//cars/hyundai-creta/
"Maruti Suzuki, Dzire LXi",₹7.91 Lacs,PetrolManual,Color: Premium Silver,https://ackodrive.com//cars/maruti-suzuki-dzire/
"Honda, City 1.5 SV",₹14.08 Lacs,PetrolManual,Color: Obsidian Blue Pearl,https://ackodrive.com//cars/honda-city/
